C�di;A�;Tipo;Qtde. Te�ri;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.372.163;0,397
ALPA4;ALPARGATAS;PN      N1;201.257.220;0,215
ABEV3;AMBEV S/A;ON;4.380.195.841;3,273
AMER3;AMERICANAS;ON      NM;596.875.824;0,409
ASAI3;ASSAI;ON      NM;794.531.367;0,625
AZUL4;AZUL;PN      N2;327.741.172;0,221
B3SA3;B3;ON  EDJ NM;5.987.625.321;3,624
BPAN4;BANCO PAN;PN      N1;341.124.068;0,114
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,932
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,351
BBDC3;BRADESCO;ON  EJ  N1;1.516.726.535;1,18
BBDC4;BRADESCO;PN  EJ  N1;5.160.570.290;4,829
BRAP4;BRADESPAR;PN      N1;251.402.249;0,338
BBAS3;BRASIL;ON      NM;1.420.530.937;2,564
BRKM5;BRASKEM;PNA     N1;264.975.728;0,525
BRFS3;BRF SA;ON      NM;1.076.512.610;0,866
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,581
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,361
CCRO3;CCR SA;ON      NM;1.115.693.556;0,743
CMIG4;CEMIG;PN  EJ  N1;1.448.479.060;0,819
CIEL3;CIELO;ON      NM;1.144.359.228;0,242
COGN3;COGNA ON;ON      NM;1.828.106.676;0,2
CPLE6;COPEL;PNB     N2;1.563.365.506;0,587
CSAN3;COSAN;ON      NM;1.171.063.698;1,126
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,32
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,227
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,083
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,184
DXCO3;DEXCO;ON      NM;295.712.871;0,155
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,104
ELET3;ELETROBRAS;ON      N1;985.704.248;2,436
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,611
EMBR3;EMBRAER;ON      NM;734.588.205;0,468
ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,26
ENGI11;ENERGISA;UNT     N2;248.477.689;0,534
ENEV3;ENEVA;ON      NM;1.257.479.978;1,008
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,57
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,36
EZTC3;EZTEC;ON      NM;101.618.236;0,081
FLRY3;FLEURY;ON      NM;303.373.882;0,257
GGBR4;GERDAU;PN      N1;1.097.534.498;1,328
GOAU4;GERDAU MET;PN      N1;698.275.321;0,36
GOLL4;GOL;PN      N2;167.095.214;0,082
NTCO3;GRUPO NATURA;ON      NM;834.914.221;0,591
SOMA3;GRUPO SOMA;ON      NM;489.316.435;0,242
HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,47
HYPE3;HYPERA;ON  EJ  NM;410.253.528;0,835
IGTI11;IGUATEMI S.A;UNT     N1;180.013.980;0,179
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,141
ITSA4;ITAUSA;PN      N1;4.736.140.654;2,134
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.781.077.143;5,91
JBSS3;JBS;ON      NM;1.290.736.673;2,256
JHSF3;JHSF PART;ON      NM;305.915.142;0,093
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,897
RENT3;LOCALIZA;ON  EJ  NM;735.708.470;2,119
LWSA3;LOCAWEB;ON      NM;418.965.264;0,136
LREN3;LOJAS RENNER;ON  EJ  NM;977.821.540;1,23
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,337
MRFG3;MARFRIG;ON      NM;348.234.011;0,243
CASH3;MELIUZ;ON      NM;548.153.725;0,033
BEEF3;MINERVA;ON      NM;260.409.710;0,199
MRVE3;MRV;ON  ED  NM;294.647.234;0,132
MULT3;MULTIPLAN;ON  EJ  N2;272.718.548;0,335
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,143
PETR3;PETROBRAS;ON      N2;2.706.334.382;4,708
PETR4;PETROBRAS;PN      N2;4.566.442.248;7,268
PRIO3;PETRORIO;ON      NM;839.159.130;1,045
PETZ3;PETZ;ON  EJ  NM;336.154.589;0,176
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,024
QUAL3;QUALICORP;ON      NM;277.027.077;0,174
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,096
RDOR3;REDE D OR;ON      NM;772.010.260;1,217
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,059
SBSP3;SABESP;ON      NM;340.001.934;0,78
SANB11;SANTANDER BR;UNT;362.703.399;0,567
CSNA3;SID NACIONAL;ON;642.398.790;0,524
SLCE3;SLC AGRICOLA;ON      NM;96.270.946;0,234
SULA11;SUL AMERICA;UNT     N2;283.167.854;0,335
SUZB3;SUZANO S.A.;ON      NM;726.779.281;2
TAEE11;TAESA;UNT     N2;218.568.234;0,461
VIVT3;TELEF BRASIL;ON  EJ;413.890.875;1,051
TIMS3;TIM;ON  EJ  NM;808.619.532;0,574
TOTS3;TOTVS;ON      NM;519.851.955;0,664
UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,704
USIM5;USIMINAS;PNA     N1;514.680.651;0,239
VALE3;VALE;ON      NM;3.768.748.489;15,371
VIIA3;VIA;ON      NM;1.596.295.753;0,16
VBBR3;VIBRA;ON      NM;1.131.883.365;1,011
WEGE3;WEG;ON  EJ  NM;1.484.859.030;2,149
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,204
Quantidade Te�rica Tot;;;96.496.087.413;100
Redutor;;;18.565.877,42;
