TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PETR3;39,25;29,42;3,41;1,18;0,51;49,27;47,69;29,53;2,11;2,83;0,78;0,44;1,01;7,39;-0,64;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;594294114,11;33,29;11,50;0,02;495246396566,38
PETR4;36,26;31,84;3,15;1,09;0,47;49,27;47,69;29,53;1,95;2,83;0,78;0,44;0,93;6,83;-0,59;1,53;34,56;15,03;24,67;0,43;0,56;0,51;9,88;;2516575302,03;33,29;11,50;0,02;495246396566,38
VALE3;83,19;16,96;3,66;2,33;0,94;58,69;48,60;40,47;3,05;3,22;0,17;0,13;1,48;18,30;-1,19;1,33;63,77;25,77;44,29;0,40;0,59;0,64;25,41;53,57;2509315153,49;35,67;22,75;0,04;415870142840,97
ITUB3;22,14;2,84;8,11;1,32;0,10;64,58;21,58;13,68;5,14;5,56;;;1,11;;-0,11;;16,27;1,29;;0,08;0,92;0,09;2,26;4,35;16394916,23;16,78;2,73;0,19;234993183064,02
ITUB4;25,84;2,44;9,47;1,54;0,12;64,58;21,58;13,68;6,00;5,56;;;1,29;;-0,13;;16,27;1,29;;0,08;0,92;0,09;2,26;4,35;879603825,77;16,78;2,73;0,23;234993183064,02
ABEV3;14,10;4,28;16,50;2,81;1,74;50,27;22,97;18,03;12,95;12,30;-0,66;-0,14;2,97;170,74;-2,39;1,04;17,05;10,56;20,02;0,62;0,37;0,59;9,82;1,41;343273812,34;5,01;0,85;3,91;222078057599,10
BBDC3;16,50;5,53;7,63;1,14;0,10;39,92;22,47;17,82;6,05;6,69;;;1,36;1,92;-0,11;5,37;15,00;1,36;;0,09;0,91;0,08;-5,09;5,20;134750219,09;14,43;2,16;0,39;194485381976,50
BBDC4;20,00;5,02;9,24;1,39;0,13;39,92;22,47;17,82;7,33;6,69;;;1,65;2,32;-0,13;5,37;15,00;1,36;;0,09;0,91;0,08;-5,09;5,20;807784187,83;14,43;2,16;0,48;194485381976,50
BBML3;3936,42;;-27880,40;1358,54;154,05;7,30;0,55;-0,41;20703,45;20755,64;52,20;3,43;113,66;-1365,22;-264,04;0,79;-4,87;-0,55;-6,72;0,11;0,89;1,36;42,64;;;2,90;-0,14;181,53;160451699191,56
SANB11;34,11;8,92;8,67;1,21;0,13;34,30;22,14;14,81;5,80;5,80;;;1,28;;-0,14;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;103993946,43;28,27;3,93;2,41;127887447074,81
SANB3;16,14;8,98;8,21;1,14;0,13;34,30;22,14;14,81;5,49;5,80;;;1,22;;-0,13;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;935075,11;14,13;1,97;2,28;127887447074,81
SANB4;17,79;8,96;9,05;1,26;0,14;34,30;22,14;14,81;6,05;5,80;;;1,34;;-0,14;;13,91;1,55;;0,11;0,89;0,10;0,22;14,98;1250854,74;14,13;1,97;2,52;127887447074,81
WEGE3;26,56;1,78;29,61;8,98;4,61;28,58;17,24;14,88;25,55;25,50;-0,04;-0,01;4,40;15,65;-14,39;1,77;30,32;15,58;22,79;0,51;0,47;1,05;20,26;27,50;256369750,26;2,96;0,90;0,72;111480766026,88
BBAS3;38,56;7,72;5,64;0,82;0,06;30,25;17,65;15,03;4,81;4,81;;;0,85;2,33;-0,06;12,54;14,58;0,98;;0,07;0,93;0,07;-6,50;22,74;531806487,83;46,84;6,83;0,10;110490480291,20
BPAC11;24,42;1,58;12,38;2,38;0,29;38,43;47,30;35,59;9,32;9,32;;;4,41;5,90;-4,00;1,05;19,25;2,31;;0,12;0,88;0,06;5,25;9,82;272720107,71;10,25;1,97;0,22;93659816213,92
BPAC3;13,73;0,93;20,89;4,02;0,48;38,43;47,30;35,59;15,72;9,32;;;7,43;9,96;-6,74;1,05;19,25;2,31;;0,12;0,88;0,06;5,25;9,82;86575,60;3,42;0,66;0,38;93659816213,92
BPAC5;5,35;2,40;8,14;1,57;0,19;38,43;47,30;35,59;6,12;9,32;;;2,90;3,88;-2,63;1,05;19,25;2,31;;0,12;0,88;0,06;5,25;9,82;49214,71;3,42;0,66;0,15;93659816213,92
